sgRNA,oviposition_date,batch,individual_id,stage,days,status,"0=censored, 1=dead, 2=molted"
masc284,230208,1,1,embryo,3,1,
masc284,230208,1,2,embryo,4,1,
masc284,230208,1,3,embryo,6,1,
masc284,230208,1,4,embryo,6,1,
masc284,230208,1,5,embryo,6,1,
masc284,230208,1,6,embryo,6,1,
masc284,230208,1,7,embryo,6,1,
masc284,230208,1,8,embryo,6,1,
masc284,230208,1,9,embryo,6,1,
masc284,230208,1,10,embryo,6,1,
masc284,230208,1,11,embryo,8,1,
masc284,230208,1,12,embryo,9,1,
masc284,230208,1,13,embryo,9,1,
masc284,230208,1,14,embryo,9,1,
masc284,230208,1,15,embryo,9,1,
masc284,230208,3,1,embryo,3,1,
masc284,230208,3,2,embryo,3,1,
masc284,230208,3,3,embryo,3,1,
masc284,230208,3,4,embryo,4,1,
masc284,230208,3,5,embryo,6,1,
masc284,230208,3,6,embryo,6,1,
masc284,230208,3,7,embryo,7,1,
masc284,230208,3,8,embryo,7,1,
masc284,230208,3,9,embryo,7,1,
masc284,230208,3,10,embryo,7,1,
masc284,230208,3,11,embryo,9,1,
masc284,230208,3,12,embryo,9,1,
masc284,230208,3,13,embryo,9,1,
masc284,230208,3,14,embryo,9,1,
masc284,230208,3,15,embryo,9,1,
masc284,230208,4,1,embryo,3,1,
masc284,230208,4,2,embryo,4,1,
masc284,230208,4,3,embryo,4,1,
masc284,230208,4,4,embryo,4,1,
masc284,230208,4,5,embryo,4,1,
masc284,230208,4,6,embryo,4,1,
masc284,230208,4,7,embryo,7,1,
masc284,230208,4,8,embryo,8,1,
masc284,230208,4,9,embryo,9,1,
masc284,230208,4,10,embryo,9,1,
masc284,230208,4,11,embryo,9,1,
masc284,230208,4,12,embryo,9,1,
masc284,230208,4,13,embryo,9,1,
masc284,230208,4,14,embryo,11,1,
masc284,230208,4,15,embryo,11,1,
masc284,230208,2,1,embryo,3,1,
masc284,230208,2,2,embryo,3,1,
masc284,230208,2,3,embryo,3,1,
masc284,230208,2,4,embryo,4,1,
masc284,230208,2,5,embryo,5,1,
masc284,230208,2,6,embryo,7,1,
masc284,230208,2,7,embryo,9,1,
masc284,230208,2,8,embryo,9,1,
masc284,230208,2,9,embryo,9,1,
masc284,230208,2,10,embryo,9,1,
masc284,230208,2,11,embryo,11,1,
masc284,230208,2,12,embryo,12,2,
masc284,230208,2,12,larva,7,1,
masc284,230208,2,13,embryo,12,2,
masc284,230208,2,13,larva,7,2,
masc284,230208,2,13,pupa,10,2,
masc284,230208,2,13,adult,4,0,
masc284,230208,2,14,embryo,12,2,
masc284,230208,2,14,larva,7,2,
masc284,230208,2,14,pupa,10,2,
masc284,230208,2,14,adult,4,0,
masc284,230208,2,15,embryo,12,2,
masc284,230208,2,15,larva,7,2,
masc284,230208,2,15,pupa,10,2,
masc284,230208,2,15,adult,4,0,
masc284,230208,5,1,embryo,3,1,
masc284,230208,5,2,embryo,3,1,
masc284,230208,5,3,embryo,3,1,
masc284,230208,5,4,embryo,3,1,
masc284,230208,5,5,embryo,3,1,
masc284,230208,5,6,embryo,5,1,
masc284,230208,5,7,embryo,6,1,
masc284,230208,5,8,embryo,6,1,
masc284,230208,5,9,embryo,6,1,
masc284,230208,5,10,embryo,8,1,
masc284,230208,5,11,embryo,8,1,
masc284,230208,5,12,embryo,9,1,
masc284,230208,5,13,embryo,10,1,
masc284,230208,5,14,embryo,12,1,
masc284,230208,5,15,embryo,12,2,
masc284,230208,5,15,larva,6,2,
masc284,230208,5,15,pupa,11,2,
masc284,230208,5,15,adult,4,0,
masc524,230208,1,1,embryo,4,1,
masc524,230208,1,2,embryo,5,1,
masc524,230208,1,3,embryo,5,1,
masc524,230208,1,4,embryo,6,1,
masc524,230208,1,5,embryo,6,1,
masc524,230208,1,6,embryo,6,1,
masc524,230208,1,7,embryo,7,1,
masc524,230208,1,8,embryo,7,1,
masc524,230208,1,9,embryo,8,1,
masc524,230208,1,10,embryo,8,1,
masc524,230208,1,11,embryo,8,1,
masc524,230208,1,12,embryo,9,1,
masc524,230208,1,13,embryo,11,1,
masc524,230208,1,14,embryo,11,1,
masc524,230208,1,15,embryo,11,1,
masc524,230208,4,1,embryo,3,1,
masc524,230208,4,2,embryo,3,1,
masc524,230208,4,3,embryo,3,1,
masc524,230208,4,4,embryo,3,1,
masc524,230208,4,5,embryo,3,1,
masc524,230208,4,6,embryo,4,1,
masc524,230208,4,7,embryo,7,1,
masc524,230208,4,8,embryo,7,1,
masc524,230208,4,9,embryo,7,1,
masc524,230208,4,10,embryo,7,1,
masc524,230208,4,11,embryo,8,1,
masc524,230208,4,12,embryo,8,1,
masc524,230208,4,13,embryo,8,1,
masc524,230208,4,14,embryo,9,1,
masc524,230208,4,15,embryo,9,1,
masc524,230208,5,1,embryo,3,1,
masc524,230208,5,2,embryo,3,1,
masc524,230208,5,3,embryo,3,1,
masc524,230208,5,4,embryo,3,1,
masc524,230208,5,5,embryo,4,1,
masc524,230208,5,6,embryo,5,1,
masc524,230208,5,7,embryo,5,1,
masc524,230208,5,8,embryo,5,1,
masc524,230208,5,9,embryo,6,1,
masc524,230208,5,10,embryo,6,1,
masc524,230208,5,11,embryo,6,1,
masc524,230208,5,12,embryo,7,1,
masc524,230208,5,13,embryo,7,1,
masc524,230208,5,14,embryo,7,1,
masc524,230208,5,15,embryo,7,1,
masc524,230208,2,1,embryo,3,1,
masc524,230208,2,2,embryo,3,1,
masc524,230208,2,3,embryo,3,1,
masc524,230208,2,4,embryo,3,1,
masc524,230208,2,5,embryo,3,1,
masc524,230208,2,6,embryo,3,1,
masc524,230208,2,7,embryo,4,1,
masc524,230208,2,8,embryo,4,1,
masc524,230208,2,9,embryo,8,1,
masc524,230208,2,10,embryo,9,1,
masc524,230208,2,11,embryo,10,1,
masc524,230208,2,12,embryo,10,1,
masc524,230208,2,13,embryo,10,1,
